<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.01	00:00:00	1.10641	1.10647	1.10628	1.10632	82	0	10
2022.04.01	00:15:00	1.10632	1.10659	1.10631	1.10659	87	0	17
2022.04.01	00:30:00	1.10660	1.10671	1.10660	1.10661	83	0	15
2022.04.01	00:45:00	1.10661	1.10670	1.10655	1.10665	94	0	12
2022.04.01	01:00:00	1.10675	1.10695	1.10670	1.10675	191	0	0
2022.04.01	01:15:00	1.10676	1.10748	1.10669	1.10727	278	0	0
2022.04.01	01:30:00	1.10727	1.10753	1.10716	1.10736	248	0	0
2022.04.01	01:45:00	1.10736	1.10762	1.10724	1.10733	210	0	0
2022.04.01	02:00:00	1.10733	1.10746	1.10690	1.10703	226	0	0
2022.04.01	02:15:00	1.10704	1.10706	1.10675	1.10705	130	0	0
2022.04.01	02:30:00	1.10706	1.10728	1.10701	1.10711	155	0	0
2022.04.01	02:45:00	1.10711	1.10739	1.10705	1.10730	298	0	0
2022.04.01	03:00:00	1.10736	1.10747	1.10656	1.10688	632	0	0
2022.04.01	03:15:00	1.10686	1.10697	1.10623	1.10630	475	0	0
2022.04.01	03:30:00	1.10630	1.10638	1.10598	1.10615	416	0	0
2022.04.01	03:45:00	1.10615	1.10680	1.10612	1.10674	585	0	0
2022.04.01	04:00:00	1.10674	1.10689	1.10635	1.10689	408	0	0
2022.04.01	04:15:00	1.10689	1.10718	1.10673	1.10685	361	0	0
2022.04.01	04:30:00	1.10685	1.10715	1.10685	1.10705	442	0	0
2022.04.01	04:45:00	1.10703	1.10733	1.10682	1.10717	571	0	0
2022.04.01	05:00:00	1.10718	1.10725	1.10689	1.10704	373	0	0
2022.04.01	05:15:00	1.10704	1.10727	1.10689	1.10703	278	0	0
2022.04.01	05:30:00	1.10703	1.10729	1.10697	1.10705	281	0	0
2022.04.01	05:45:00	1.10704	1.10716	1.10629	1.10646	446	0	0
2022.04.01	06:00:00	1.10646	1.10653	1.10615	1.10649	408	0	0
2022.04.01	06:15:00	1.10649	1.10678	1.10649	1.10672	241	0	0
2022.04.01	06:30:00	1.10672	1.10677	1.10642	1.10656	277	0	0
2022.04.01	06:45:00	1.10656	1.10687	1.10633	1.10653	292	0	0
2022.04.01	07:00:00	1.10651	1.10683	1.10638	1.10670	371	0	0
2022.04.01	07:15:00	1.10670	1.10674	1.10634	1.10639	275	0	0
2022.04.01	07:30:00	1.10639	1.10666	1.10628	1.10654	213	0	0
2022.04.01	07:45:00	1.10654	1.10678	1.10638	1.10639	242	0	0
2022.04.01	08:00:00	1.10642	1.10681	1.10637	1.10670	248	0	0
2022.04.01	08:15:00	1.10670	1.10672	1.10638	1.10644	209	0	0
2022.04.01	08:30:00	1.10646	1.10735	1.10644	1.10728	370	0	0
2022.04.01	08:45:00	1.10728	1.10743	1.10676	1.10681	336	0	0
2022.04.01	09:00:00	1.10682	1.10705	1.10526	1.10573	880	0	0
2022.04.01	09:15:00	1.10571	1.10626	1.10550	1.10603	612	0	0
2022.04.01	09:30:00	1.10607	1.10607	1.10523	1.10550	636	0	0
2022.04.01	09:45:00	1.10547	1.10757	1.10543	1.10744	861	0	0
2022.04.01	10:00:00	1.10734	1.10755	1.10578	1.10582	1214	0	0
2022.04.01	10:15:00	1.10580	1.10656	1.10430	1.10462	1155	0	0
2022.04.01	10:30:00	1.10464	1.10560	1.10461	1.10531	1011	0	0
2022.04.01	10:45:00	1.10532	1.10664	1.10520	1.10527	1155	0	0
2022.04.01	11:00:00	1.10527	1.10678	1.10485	1.10678	868	0	0
2022.04.01	11:15:00	1.10677	1.10743	1.10561	1.10707	934	0	0
2022.04.01	11:30:00	1.10707	1.10708	1.10596	1.10627	759	0	0
2022.04.01	11:45:00	1.10626	1.10716	1.10554	1.10607	742	0	0
2022.04.01	12:00:00	1.10608	1.10608	1.10523	1.10525	783	0	0
2022.04.01	12:15:00	1.10525	1.10597	1.10447	1.10545	989	0	0
2022.04.01	12:30:00	1.10545	1.10584	1.10416	1.10484	960	0	0
2022.04.01	12:45:00	1.10483	1.10559	1.10449	1.10559	772	0	0
2022.04.01	13:00:00	1.10559	1.10577	1.10477	1.10496	617	0	0
2022.04.01	13:15:00	1.10496	1.10575	1.10491	1.10572	523	0	0
2022.04.01	13:30:00	1.10571	1.10600	1.10561	1.10592	499	0	0
2022.04.01	13:45:00	1.10592	1.10676	1.10562	1.10675	691	0	0
2022.04.01	14:00:00	1.10675	1.10679	1.10573	1.10599	690	0	0
2022.04.01	14:15:00	1.10599	1.10608	1.10547	1.10551	515	0	0
2022.04.01	14:30:00	1.10551	1.10572	1.10529	1.10532	487	0	0
2022.04.01	14:45:00	1.10532	1.10545	1.10483	1.10488	772	0	0
2022.04.01	15:00:00	1.10484	1.10525	1.10468	1.10521	616	0	0
2022.04.01	15:15:00	1.10516	1.10538	1.10435	1.10492	663	0	0
2022.04.01	15:30:00	1.10493	1.10561	1.10368	1.10542	1481	0	0
2022.04.01	15:45:00	1.10543	1.10592	1.10427	1.10442	983	0	0
2022.04.01	16:00:00	1.10443	1.10539	1.10426	1.10481	908	0	0
2022.04.01	16:15:00	1.10481	1.10484	1.10403	1.10436	697	0	0
2022.04.01	16:30:00	1.10436	1.10472	1.10386	1.10422	817	0	0
2022.04.01	16:45:00	1.10423	1.10470	1.10404	1.10448	758	0	0
2022.04.01	17:00:00	1.10455	1.10499	1.10418	1.10487	1031	0	0
2022.04.01	17:15:00	1.10487	1.10487	1.10289	1.10319	869	0	0
2022.04.01	17:30:00	1.10319	1.10371	1.10281	1.10297	943	0	0
2022.04.01	17:45:00	1.10296	1.10399	1.10286	1.10372	979	0	0
2022.04.01	18:00:00	1.10372	1.10389	1.10298	1.10355	855	0	0
2022.04.01	18:15:00	1.10355	1.10399	1.10326	1.10373	728	0	0
2022.04.01	18:30:00	1.10373	1.10432	1.10360	1.10412	775	0	0
2022.04.01	18:45:00	1.10411	1.10447	1.10363	1.10442	772	0	0
2022.04.01	19:00:00	1.10442	1.10456	1.10407	1.10447	619	0	0
2022.04.01	19:15:00	1.10447	1.10491	1.10424	1.10448	568	0	0
2022.04.01	19:30:00	1.10446	1.10460	1.10420	1.10443	547	0	0
2022.04.01	19:45:00	1.10443	1.10466	1.10391	1.10402	592	0	0
2022.04.01	20:00:00	1.10402	1.10406	1.10336	1.10338	478	0	0
2022.04.01	20:15:00	1.10338	1.10370	1.10332	1.10356	532	0	0
2022.04.01	20:30:00	1.10356	1.10403	1.10351	1.10400	426	0	0
2022.04.01	20:45:00	1.10400	1.10425	1.10395	1.10396	343	0	0
2022.04.01	21:00:00	1.10396	1.10428	1.10387	1.10427	396	0	0
2022.04.01	21:15:00	1.10427	1.10477	1.10397	1.10471	475	0	0
2022.04.01	21:30:00	1.10470	1.10479	1.10420	1.10437	310	0	0
2022.04.01	21:45:00	1.10437	1.10437	1.10390	1.10391	450	0	0
2022.04.01	22:00:00	1.10391	1.10440	1.10390	1.10425	395	0	0
2022.04.01	22:15:00	1.10425	1.10425	1.10398	1.10405	384	0	0
2022.04.01	22:30:00	1.10405	1.10434	1.10400	1.10417	420	0	0
2022.04.01	22:45:00	1.10417	1.10479	1.10413	1.10479	571	0	0
2022.04.01	23:00:00	1.10479	1.10506	1.10468	1.10493	354	0	0
2022.04.01	23:15:00	1.10493	1.10526	1.10490	1.10518	291	0	0
2022.04.01	23:30:00	1.10518	1.10524	1.10457	1.10467	219	0	0
2022.04.01	23:45:00	1.10472	1.10474	1.10448	1.10453	167	0	0
2022.04.04	00:00:00	1.10389	1.10402	1.10376	1.10382	151	0	3
2022.04.04	00:15:00	1.10382	1.10406	1.10381	1.10403	140	0	1
2022.04.04	00:30:00	1.10404	1.10430	1.10404	1.10420	216	0	1
2022.04.04	00:45:00	1.10420	1.10427	1.10369	1.10388	162	0	6
2022.04.04	01:00:00	1.10394	1.10417	1.10384	1.10398	242	0	0
2022.04.04	01:15:00	1.10398	1.10414	1.10390	1.10400	214	0	0
2022.04.04	01:30:00	1.10400	1.10431	1.10387	1.10427	245	0	0
2022.04.04	01:45:00	1.10427	1.10443	1.10426	1.10435	173	0	0
2022.04.04	02:00:00	1.10434	1.10453	1.10428	1.10428	189	0	0
2022.04.04	02:15:00	1.10428	1.10448	1.10428	1.10441	169	0	0
2022.04.04	02:30:00	1.10441	1.10446	1.10412	1.10419	245	0	0
2022.04.04	02:45:00	1.10417	1.10457	1.10409	1.10456	310	0	0
2022.04.04	03:00:00	1.10456	1.10509	1.10446	1.10501	682	0	0
2022.04.04	03:15:00	1.10499	1.10516	1.10468	1.10506	563	0	0
2022.04.04	03:30:00	1.10506	1.10520	1.10481	1.10518	445	0	0
2022.04.04	03:45:00	1.10518	1.10538	1.10473	1.10493	660	0	0
2022.04.04	04:00:00	1.10493	1.10496	1.10456	1.10460	486	0	0
2022.04.04	04:15:00	1.10461	1.10503	1.10437	1.10489	615	0	0
2022.04.04	04:30:00	1.10489	1.10546	1.10488	1.10524	721	0	0
2022.04.04	04:45:00	1.10524	1.10525	1.10484	1.10492	486	0	0
2022.04.04	05:00:00	1.10492	1.10495	1.10466	1.10494	518	0	0
2022.04.04	05:15:00	1.10491	1.10517	1.10482	1.10508	374	0	0
2022.04.04	05:30:00	1.10508	1.10516	1.10475	1.10478	319	0	0
2022.04.04	05:45:00	1.10478	1.10506	1.10474	1.10488	446	0	0
2022.04.04	06:00:00	1.10487	1.10502	1.10477	1.10494	349	0	0
2022.04.04	06:15:00	1.10494	1.10533	1.10492	1.10528	235	0	0
2022.04.04	06:30:00	1.10528	1.10529	1.10489	1.10491	279	0	0
2022.04.04	06:45:00	1.10491	1.10496	1.10472	1.10479	396	0	0
2022.04.04	07:00:00	1.10479	1.10486	1.10462	1.10465	419	0	0
2022.04.04	07:15:00	1.10464	1.10495	1.10462	1.10482	376	0	0
2022.04.04	07:30:00	1.10482	1.10483	1.10465	1.10472	352	0	0
2022.04.04	07:45:00	1.10472	1.10492	1.10465	1.10479	418	0	0
2022.04.04	08:00:00	1.10481	1.10503	1.10474	1.10498	404	0	0
2022.04.04	08:15:00	1.10500	1.10500	1.10478	1.10496	398	0	0
2022.04.04	08:30:00	1.10496	1.10496	1.10470	1.10495	402	0	0
2022.04.04	08:45:00	1.10495	1.10522	1.10466	1.10513	419	0	0
2022.04.04	09:00:00	1.10512	1.10539	1.10386	1.10394	689	0	0
2022.04.04	09:15:00	1.10394	1.10439	1.10379	1.10423	660	0	0
2022.04.04	09:30:00	1.10426	1.10459	1.10415	1.10458	443	0	0
2022.04.04	09:45:00	1.10461	1.10466	1.10363	1.10392	622	0	0
2022.04.04	10:00:00	1.10396	1.10427	1.10340	1.10360	852	0	0
2022.04.04	10:15:00	1.10357	1.10392	1.10319	1.10326	911	0	0
2022.04.04	10:30:00	1.10327	1.10397	1.10312	1.10341	807	0	0
2022.04.04	10:45:00	1.10340	1.10348	1.10277	1.10314	684	0	0
2022.04.04	11:00:00	1.10314	1.10320	1.10197	1.10267	1039	0	0
2022.04.04	11:15:00	1.10267	1.10377	1.10265	1.10371	927	0	0
2022.04.04	11:30:00	1.10368	1.10385	1.10301	1.10303	954	0	0
2022.04.04	11:45:00	1.10304	1.10304	1.10211	1.10222	848	0	0
